Poster No,Abstract Title,Speaker ID,First Name,Last Name,Gender,Country of Origin,role
1062,"Heterogeneity in Neurodevelopmental Disorders: Identification, Nosology, and Intervention",1309,Jessica,Cohen,Woman,United States,AbsSubmitter
1062,"Heterogeneity in Neurodevelopmental Disorders: Identification, Nosology, and Intervention",1309,Jessica,Cohen,Woman,United States,AbsSymposiaOrganizer
1062,"Heterogeneity in Neurodevelopmental Disorders: Identification, Nosology, and Intervention",3309,Lucina,Uddin,Woman,United States,AbsEduPresenter
1062,"Heterogeneity in Neurodevelopmental Disorders: Identification, Nosology, and Intervention",9938,Adam,Miller,,,AbsEduPresenter
1062,"Heterogeneity in Neurodevelopmental Disorders: Identification, Nosology, and Intervention",1309,Jessica,Cohen,Woman,United States,AbsEduPresenter
1062,"Heterogeneity in Neurodevelopmental Disorders: Identification, Nosology, and Intervention",9932,Jessica,Church,,,AbsEduPresenter
1063,Neurovascular Coupling in Health and Disease: Revisiting the Hemodynamic Response Function,1312,Colleen,Schneider,Woman,United States,AbsSubmitter
1063,Neurovascular Coupling in Health and Disease: Revisiting the Hemodynamic Response Function,1312,Colleen,Schneider,Woman,United States,AbsSymposiaOrganizer
1063,Neurovascular Coupling in Health and Disease: Revisiting the Hemodynamic Response Function,1313,Edith,Hamel,,,AbsEduPresenter
1063,Neurovascular Coupling in Health and Disease: Revisiting the Hemodynamic Response Function,1312,Colleen,Schneider,Woman,United States,AbsEduPresenter
1063,Neurovascular Coupling in Health and Disease: Revisiting the Hemodynamic Response Function,3319,Jana,Kainerstorfer,,,AbsEduPresenter
1063,Neurovascular Coupling in Health and Disease: Revisiting the Hemodynamic Response Function,3323,Yunjie,Tong,,,AbsEduPresenter
1078,Neuropsychiatric genetic variation shapes brain architecture by modulating gene expression,1351,Sébastien,Jacquemont,Man,Canada,AbsSubmitter
1078,Neuropsychiatric genetic variation shapes brain architecture by modulating gene expression,1351,Sébastien,Jacquemont,Man,Canada,AbsSymposiaOrganizer
1078,Neuropsychiatric genetic variation shapes brain architecture by modulating gene expression,1512,Clara,Moreau,Woman,France,AbsEduPresenter
1078,Neuropsychiatric genetic variation shapes brain architecture by modulating gene expression,1511,Paul,Thompson,Man,United Kingdom,AbsEduPresenter
1078,Neuropsychiatric genetic variation shapes brain architecture by modulating gene expression,1513,Jason,Stein,,,AbsEduPresenter
1078,Neuropsychiatric genetic variation shapes brain architecture by modulating gene expression,1515,Trygve,Bakken,,,AbsEduPresenter
1092,Neurodevelopmental insights from fetal and infant imaging,1395,Vani,Pariyadath,Woman,USA,AbsSubmitter
1092,Neurodevelopmental insights from fetal and infant imaging,1395,Vani,Pariyadath,Woman,USA,AbsSymposiaOrganizer
1092,Neurodevelopmental insights from fetal and infant imaging,1458,Moriah,Thomason,,,AbsEduPresenter
1092,Neurodevelopmental insights from fetal and infant imaging,1402,David,Edwards,,,AbsEduPresenter
1092,Neurodevelopmental insights from fetal and infant imaging,1401,Weili,Lin,,,AbsEduPresenter
1092,Neurodevelopmental insights from fetal and infant imaging,1400,Cynthia,Rogers,,,AbsEduPresenter
1147,OHBM-DGKN Alliance: International Symposium on Stroke Recovery,1585,Christian,Grefkes,Man,Germany,AbsSubmitter
1147,OHBM-DGKN Alliance: International Symposium on Stroke Recovery,1585,Christian,Grefkes,Man,Germany,AbsSymposiaOrganizer
1147,OHBM-DGKN Alliance: International Symposium on Stroke Recovery,1585,Christian,Grefkes,Man,Germany,AbsEduPresenter
1147,OHBM-DGKN Alliance: International Symposium on Stroke Recovery,9203,Steven,Small,,,AbsEduPresenter
1147,OHBM-DGKN Alliance: International Symposium on Stroke Recovery,2713,Heidi,Johansen-Berg,,,AbsEduPresenter
1147,OHBM-DGKN Alliance: International Symposium on Stroke Recovery,9213,Friedhelm,Hummel,,,AbsEduPresenter
1164,Discerning signal from artifact: Current Issues in resting-state fMRI quality control,1646,Jean,Chen,Woman,Canada,AbsSubmitter
1164,Discerning signal from artifact: Current Issues in resting-state fMRI quality control,1646,Jean,Chen,Woman,Canada,AbsSymposiaOrganizer
1164,Discerning signal from artifact: Current Issues in resting-state fMRI quality control,1647,Rasmus,Birn,,,AbsEduPresenter
1164,Discerning signal from artifact: Current Issues in resting-state fMRI quality control,1649,Benedikt,Poser,,,AbsEduPresenter
1164,Discerning signal from artifact: Current Issues in resting-state fMRI quality control,1650,Daniel,Rowe,,,AbsEduPresenter
1164,Discerning signal from artifact: Current Issues in resting-state fMRI quality control,1646,Jean,Chen,Woman,Canada,AbsEduPresenter
1190,Two is better than one (and many are better): Multi-echo fMRI methods and applications,1710,Daniel,Handwerker,Man,United States,AbsSubmitter
1190,Two is better than one (and many are better): Multi-echo fMRI methods and applications,1710,Daniel,Handwerker,Man,United States,AbsSymposiaOrganizer
1190,Two is better than one (and many are better): Multi-echo fMRI methods and applications,1710,Daniel,Handwerker,Man,United States,AbsEduPresenter
1190,Two is better than one (and many are better): Multi-echo fMRI methods and applications,1252,Elizabeth,Dupre,,,AbsEduPresenter
1190,Two is better than one (and many are better): Multi-echo fMRI methods and applications,2871,Cesar,Caballero-Gaudes,,,AbsEduPresenter
1190,Two is better than one (and many are better): Multi-echo fMRI methods and applications,2876,Angela,Laird,,,AbsEduPresenter
1205,Measuring the Individual: Understanding sources of variability in task and resting fMRI,1804,Colin,Hawco,Man,Canada,AbsSubmitter
1205,Measuring the Individual: Understanding sources of variability in task and resting fMRI,1804,Colin,Hawco,Man,Canada,AbsSymposiaOrganizer
1205,Measuring the Individual: Understanding sources of variability in task and resting fMRI,1818,Stephanie,Noble,Woman,United States,AbsEduPresenter
1205,Measuring the Individual: Understanding sources of variability in task and resting fMRI,2545,Erin,Dickie,Woman,Canada,AbsEduPresenter
1205,Measuring the Individual: Understanding sources of variability in task and resting fMRI,1193,Caterina,Gratton,,,AbsEduPresenter
1205,Measuring the Individual: Understanding sources of variability in task and resting fMRI,1804,Colin,Hawco,Man,Canada,AbsEduPresenter
1253,"Approaches and Challenges for Across-Site Harmonization of Structural, Functional, and Diffusion MRI",1810,Michael,Harms,Man,USA,AbsSubmitter
1253,"Approaches and Challenges for Across-Site Harmonization of Structural, Functional, and Diffusion MRI",1810,Michael,Harms,Man,USA,AbsSymposiaOrganizer
1253,"Approaches and Challenges for Across-Site Harmonization of Structural, Functional, and Diffusion MRI",3575,Haochang,Shou,,,AbsEduPresenter
